id,address,price,beds,baths,sqft,location,amenities,description
1,101 Grand Avenue Apt 4B,850000,2,2,1200,Downtown,"Balcony,Gym,Pool,Parking,Concierge",Luxury high-rise condo with city skyline views and floor-to-ceiling windows in heart of Downtown.
2,450 Ocean Boulevard,2400000,4,3.5,3400,Waterfront,"Private Dock,Ocean View,Pool,Smart Home,Wine Cellar",Stunning modern waterfront villa featuring private boat dock and expansive patio for sunset entertaining.
3,782 Oakridge Drive,620000,3,2,1950,Suburbs,"Garden,Garage,Fireplace,Solar Panels,Patio",Charming family home in quiet tree-lined suburban neighborhood near top-rated elementary schools.
4,120 Innovation Way,980000,2,2.5,1450,Tech Corridor,"EV Charger,Roof Deck,Smart Home,Co-working Lounge",Sleek eco-friendly townhouse steps away from major tech campus and metro rail station.
5,304 Gallery Lane,1150000,3,2.5,2100,Arts District,"High Ceilings,Exposed Brick,Balcony,Artist Studio",Industrial loft conversion with soaring ceilings exposed brick walls and custom lighting in vibrant Arts District.
6,888 Summit Ridge,3200000,5,5,4800,Hillside,"Infinity Pool,Panoramic Views,Home Theater,Sauna,Gated",Exclusive hilltop estate offering 360-degree canyon views luxury finishes and state-of-the-art security.
7,55 Financial Plaza #1801,1400000,2,2,1600,Financial District,"Concierge,Valet Parking,Fitness Center,Skyline View",High-floor luxury residence with marble baths high-end appliances and 24/7 concierge services.
8,912 Sunset Pines Rd,740000,4,3,2600,Suburbs,"Large Yard,Deck,Finished Basement,Garage",Spacious two-story suburban residence with updated kitchen large fenced backyard and finished basement.
9,210 Harbor View Terrace,1850000,3,3,2300,Waterfront,"Private Balcony,Water View,Hot Tub,Boat Slip",Executive waterfront condo with direct harbor views boat slip access and luxury master suite.
10,405 Metro Center Blvd,530000,1,1.5,920,Downtown,"Gym,Rooftop Terrace,In-unit Laundry,Storage",Compact contemporary city apartment ideal for urban professionals or high-yield rental investment.
11,620 University Crest,690000,3,2,1800,Westside,"Garden,Patio,Hardwood Floors,Updated Kitchen",Beautiful Craftsman style home near university campus with original architectural details.
12,14 Parkside Court,1280000,4,3.5,2900,Midtown,"Park View,Two-car Garage,Smart Thermostat,Gourmet Kitchen",Modernized family residence directly adjacent to central park with high-end chef kitchen.
13,33 East Village Way,890000,2,2,1350,Arts District,"Roof Deck,Polished Concrete,Pet Friendly,Storage",Artisan loft featuring polished concrete floors sun-drenched terrace and low HOA fees.
14,707 Pine Forest Loop,810000,4,3,2750,Northside,"Fireplace,Covered Porch,Workshop,Solar Panels",Spacious Northside home surrounded by greenery featuring solar energy and custom workshop space.
15,505 Silicon Alley #602,1050000,2,2,1500,Tech Corridor,"High Speed Fiber,EV Charging,Gym,Rooftop Pool",Ultra-modern condo customized for tech professionals with built-in fiber internet and rooftop lounge.
